                      ECO00026                         COMA5-5    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_33_acs_wfc_f814w
                      ECO00026                         COMA4-4    194.998001     27.9410    1280.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_a5_acs_wfc_f475w
                      ECO00026                         COMA4-4    194.998001     27.9410     700.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_a5_acs_wfc_f814w
                      ECO00026                         COMA4-3    194.998001     27.9410    1280.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_b4_acs_wfc_f475w
                      ECO00026                         COMA4-3    194.998001     27.9410     700.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10861_b4_acs_wfc_f814w
                      ECO00026                        NGC-4874    194.998001     27.9410    2394.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_01_acs_wfc_f475w
                      ECO00026                        NGC-4874    194.998001     27.9410   10425.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_01_acs_wfc_f814w
                      ECO00026                        NGC-4889    194.998001     27.9410    2385.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_02_acs_wfc_f475w
                      ECO00026                        NGC-4889    194.998001     27.9410    9960.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_02_acs_wfc_f814w
                      ECO00026                        NGC-4889    194.998001     27.9410    2385.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_03_acs_wfc_f475w
                      ECO00026                         COMA2-4    194.998001     27.9410    2568.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_12918_03_acs_wfc_f475w
                      ECO00026                         COMA2-4    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_12918_03_acs_wfc_f814w
                      ECO00026                         COMA4-5    194.998001     27.9410    2568.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_12918_04_acs_wfc_f475w
                      ECO00026                         COMA4-5    194.998001     27.9410    1400.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_12918_04_acs_wfc_f814w
                      ECO00026                             ANY    194.998001     27.9410    2397.699000     WFC3/IR    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_02_wfc3_ir_f110w
                      ECO00026                             ANY    194.998001     27.9410   10790.796000     WFC3/IR    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_02_wfc3_ir_f160w
                      ECO00026                             ANY    194.998001     27.9410    2397.699000     WFC3/IR    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_11711_03_wfc3_ir_f110w
                      ECO00046                     NGC4911-NUC    195.218994     27.8050    4600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_08208_01_wfpc2_f606w_wf
                      ECO00046                     NGC4911-NUC    195.218994     27.8050    4600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_08208_01_wfpc2_f814w_wf
                      ECO00046                   COMA-DEBRIS-3    195.218994     27.8050    4600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_08208_02_wfpc2_f606w_wf
                      ECO00046                   COMA-DEBRIS-3    195.218994     27.8050    4600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_08208_02_wfpc2_f814w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a1_wfpc2_f450w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a1_wfpc2_f606w_wf
                      ECO00046                             ANY    195.218994     27.8050    2500.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a1_wfpc2_f814w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a3_wfpc2_f450w_wf
                      ECO00046                             ANY    195.218994     27.8050    2500.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a3_wfpc2_f606w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a3_wfpc2_f814w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a4_wfpc2_f450w_wf
                      ECO00046                             ANY    195.218994     27.8050    2500.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a4_wfpc2_f606w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a4_wfpc2_f814w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a5_wfpc2_f450w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a5_wfpc2_f606w_wf
                      ECO00046                             ANY    195.218994     27.8050    2500.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a5_wfpc2_f814w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_au_wfpc2_f450w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_au_wfpc2_f606w_wf
                      ECO00046                             ANY    195.218994     27.8050    2500.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_au_wfpc2_f814w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_aw_wfpc2_f450w_wf
                      ECO00046                             ANY    195.218994     27.8050    5000.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_aw_wfpc2_f606w_wf
                      ECO00046                             ANY    195.218994     27.8050    2500.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_aw_wfpc2_f814w_wf
                      ECO00046                 NGC4911-PA296-A    195.218994     27.8050   12448.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a1_acs_wfc_f606w
                      ECO00046                 NGC4911-PA296-A    195.218994     27.8050   12448.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a3_acs_wfc_f606w
                      ECO00046                 NGC4911-PA296-A    195.218994     27.8050   12448.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a4_acs_wfc_f606w
                      ECO00046                 NGC4911-PA296-B    195.218994     27.8050   12448.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_a5_acs_wfc_f606w
                      ECO00046                 NGC4911-PA296-A    195.218994     27.8050   12448.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_au_acs_wfc_f814w
                      ECO00046                 NGC4911-PA296-B    195.218994     27.8050   12448.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10842_aw_acs_wfc_f814w
                      ECO00046                 NGC4911-PA296-A    195.218994     27.8050   44788.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=HST_MOS_5000_ACS_WFC_F606W
                      ECO00046                 NGC4911-PA296-A    195.218994     27.8050   17390.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=HST_MOS_5000_ACS_WFC_F814W
                      ECO00046                        SN2005AP    195.218994     27.8050    1804.000000   WFC3/UVIS    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_13025_sf_wfc3_uvis_f390w
                      ECO00046                             ANY    195.218994     27.8050    2000.000000   WFC3/UVIS    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_13352_cx_wfc3_uvis_f814w
                      ECO00056                             ANY    194.852005     27.5173    2795.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_13777_05_acs_wfc_f475w
                      ECO00056                             ANY    194.852005     27.5173    1735.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_13777_05_acs_wfc_f814w
                      ECO00083                          IC3618    189.867004     26.6722     400.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_05997_15_wfpc2_f606w_wf
                      ECO12698                         NGC4816    194.007996     27.6646    1600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_05997_01_wfpc2_f606w_wf
                      ECO00104                             ANY    131.695999     13.1639    1000.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_9701_cm_acs_wfc_f775w
                      ECO00104                             ANY    131.695999     13.1639     800.000000     ACS/WFC    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_9984_oe_acs_wfc_f775w
                      ECO00132               GAL-125855+275753    194.811005     27.8956    1600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_05997_05_wfpc2_f606w_wf
                      ECO00132                         NGC4869    194.811005     27.8956    1600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_05997_06_wfpc2_f606w_wf
                      ECO00132                        UGC08096    194.811005     27.8956     200.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_08645_23_wfpc2_f814w_wf
                      ECO00132                             ANY    194.811005     27.8956    5200.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10397_03_wfpc2_f606w_wf
                      ECO00132                             ANY    194.811005     27.8956    5200.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10397_03_wfpc2_f814w_wf
                      ECO00132                             ANY    194.811005     27.8956    5200.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10397_52_wfpc2_f606w_wf
                      ECO00132                             ANY    194.811005     27.8956    5200.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10397_52_wfpc2_f814w_wf
                      ECO00132                        GMP-3414    194.811005     27.8956     600.000000       WFPC2    http://hla.stsci.edu/cgi-bin/getdata.cgi?config=ops&amp;dataset=hst_10884_12_wfpc2_f622w_wf
